,Description,Location Description,Arrest,Domestic,beatnum,Language,housingcrowdedpct,belowpovertypct,adultnojobpct,adultnohighschoolpct,under18above64pct,incomepercapita,hardshipindex,Temperature,Snowfall,Severity
15954,4,44,1,0,21870,1,2.7,8.9,9.5,18.8,37.6,25113,29,50.7,19.8,0
3116,6,37,1,0,5070,1,4.1,11.6,12.6,19.3,34.0,24336,35,50.7,19.8,1
1233,31,27,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,51.5,57.9,0
2941,8,6,1,0,5070,1,4.1,11.6,12.6,19.3,34.0,24336,35,48.7,54.2,0
15459,24,11,1,0,15501,1,11.9,29.0,23.0,41.5,38.9,12765,91,54.5,30.1,0
19922,68,27,1,0,37845,1,4.1,18.2,9.2,9.7,23.8,33385,19,48.7,54.2,0
3474,22,27,1,0,5070,2,5.2,10.6,10.0,16.2,33.6,26282,28,48.7,54.2,1
17716,4,0,1,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,52.7,0
10021,58,5,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,50.7,19.8,1
10818,19,27,1,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,48.7,54.2,0
7284,68,25,1,0,12345,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,0
18222,20,4,0,0,21801,1,3.6,29.6,23.0,16.5,41.0,17285,66,50.7,19.8,0
10277,6,16,1,0,12270,3,5.7,40.1,16.7,34.5,38.3,16148,82,48.7,52.7,1
14644,22,25,1,1,22849,1,3.3,17.1,9.6,19.2,42.9,22677,44,54.5,30.1,1
2932,7,57,1,0,5070,1,4.1,11.6,12.6,19.3,34.0,24336,35,48.7,54.2,0
11855,7,30,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,52.7,0
10953,49,5,0,0,16845,1,2.4,21.7,15.7,11.3,35.4,35911,26,48.7,52.7,0
10530,35,5,0,1,16845,1,1.3,39.7,28.7,18.4,40.4,19252,78,48.7,54.2,0
15596,105,4,1,1,21870,1,11.9,29.0,23.0,41.5,38.9,12765,91,50.7,19.8,1
18008,4,55,1,0,20001,1,3.6,29.6,23.0,16.5,41.0,17285,66,50.7,19.8,0
9339,68,25,1,0,13845,1,15.2,30.7,15.8,54.8,33.8,10402,96,48.7,54.2,0
13660,49,4,0,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,51.5,57.9,0
18896,17,5,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,50.7,19.8,1
11914,20,5,0,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,51.5,57.9,0
17853,11,5,1,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,51.5,57.9,0
10302,68,25,1,0,12270,3,5.7,40.1,16.7,34.5,38.3,16148,82,48.7,54.2,0
3954,33,23,1,0,4701,1,6.9,20.5,13.1,41.6,36.4,15089,71,48.7,52.7,1
9686,153,25,0,0,12270,1,9.6,25.8,15.8,40.7,32.6,16444,76,51.5,57.9,0
3755,17,48,1,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,52.7,1
8111,47,5,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,48.7,52.7,1
16083,13,5,1,0,21870,1,5.8,14.9,9.6,33.6,39.6,16907,56,48.7,52.7,0
18435,6,25,1,0,21801,1,4.0,10.4,11.7,17.7,36.9,23482,37,50.7,19.8,1
2749,22,55,1,0,5070,1,11.3,19.2,10.0,32.9,32.0,21323,53,50.7,19.8,1
3769,11,9,1,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,51.5,57.9,0
10632,22,25,1,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,54.5,30.1,1
10804,3,25,1,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,48.7,54.2,0
15487,6,5,0,0,15501,1,11.9,29.0,23.0,41.5,38.9,12765,91,51.5,57.9,1
11230,12,4,1,0,16845,3,1.5,18.4,8.4,4.3,26.2,39056,14,48.7,54.2,1
17871,146,4,1,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,51.5,57.9,0
7956,7,3,1,0,12345,1,8.2,42.4,19.6,21.3,43.2,12961,83,54.5,30.1,0
12052,32,5,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,50.7,19.8,1
6149,8,43,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,51.5,57.9,0
2635,4,53,1,0,5070,2,1.1,7.5,6.8,4.9,40.5,44164,11,48.7,52.7,0
3564,49,5,0,0,5070,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,54.2,0
14142,89,4,0,0,13701,1,6.8,19.2,12.1,31.9,42.8,17104,64,50.7,19.8,0
6405,116,3,0,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,0
10697,65,4,0,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,50.7,19.8,0
3891,82,44,0,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,54.2,0
13399,49,4,0,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,51.5,57.9,0
7933,6,5,0,0,12345,1,8.2,42.4,19.6,21.3,43.2,12961,83,48.7,52.7,1
12037,65,4,0,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,52.7,0
12891,180,9,0,0,17070,1,4.7,29.8,19.7,26.6,41.1,16579,75,54.5,30.1,1
10669,49,4,0,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,51.5,57.9,0
13295,17,5,1,0,17070,1,2.1,11.5,20.0,11.0,44.0,28887,38,51.5,57.9,1
8889,6,50,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,54.5,30.1,1
14194,17,5,1,0,13701,1,3.3,25.9,19.4,20.5,42.1,16563,62,50.7,19.8,1
12651,49,43,0,0,17070,1,3.3,27.8,24.0,14.5,40.3,18881,60,51.5,57.9,0
13008,6,55,1,0,17070,1,4.7,29.8,19.7,26.6,41.1,16579,75,51.5,57.9,1
6999,68,25,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,0
7631,6,5,1,0,12345,1,9.4,41.7,25.8,24.5,43.6,10934,92,48.7,52.7,1
17800,110,55,0,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,54.2,0
631,65,9,0,0,1336,1,3.8,24.0,8.9,11.8,22.2,35787,20,48.7,54.2,0
11730,7,5,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,51.5,57.9,0
18031,17,50,1,0,20001,1,3.6,29.6,23.0,16.5,41.0,17285,66,51.5,57.9,1
3260,70,39,1,0,5070,1,6.3,13.1,10.0,22.4,31.6,27249,34,48.7,52.7,0
19183,4,3,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,51.5,57.9,0
17438,117,5,1,0,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,52.7,0
12089,6,5,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,51.5,57.9,1
18734,4,5,1,0,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,52.7,0
7808,12,5,1,0,12345,1,8.2,42.4,19.6,21.3,43.2,12961,83,51.5,57.9,1
7547,33,25,1,0,12345,1,9.4,41.7,25.8,24.5,43.6,10934,92,50.7,19.8,1
8810,109,5,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,51.5,57.9,0
17472,8,6,0,0,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,52.7,0
17560,22,27,1,1,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,52.7,1
15280,11,5,1,0,15501,1,11.9,29.0,23.0,41.5,38.9,12765,91,51.5,57.9,0
1910,90,4,0,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,54.2,0
12288,22,4,1,1,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,51.5,57.9,1
5240,6,4,0,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,54.5,30.1,1
13460,19,27,1,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,48.7,52.7,0
9698,6,53,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,48.7,52.7,1
11516,44,3,1,0,16845,1,2.9,30.7,23.4,16.5,36.1,18672,58,51.5,57.9,0
12629,83,27,1,0,17070,1,3.3,27.8,24.0,14.5,40.3,18881,60,50.7,19.8,1
10590,148,23,1,0,16845,1,3.2,51.2,33.9,26.6,44.9,10432,97,48.7,54.2,0
4631,29,25,1,1,7470,1,3.2,16.8,8.2,14.8,26.2,31908,23,54.5,30.1,0
10546,47,4,0,0,16845,1,1.3,39.7,28.7,18.4,40.4,19252,78,50.7,19.8,1
16812,4,5,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,50.7,19.8,0
5671,46,5,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,48.7,52.7,1
1487,8,39,0,0,3345,1,0.8,12.3,5.1,3.6,21.5,71551,2,48.7,52.7,0
17183,8,35,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,48.7,54.2,0
1957,6,25,1,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,52.7,1
13081,7,44,1,0,17070,1,4.7,29.8,19.7,26.6,41.1,16579,75,54.5,30.1,0
7177,49,59,0,0,12345,1,6.3,28.6,22.6,24.4,37.9,15957,73,51.5,57.9,0
19727,86,34,1,0,37845,2,3.6,15.4,7.1,10.9,30.3,25828,24,51.5,57.9,1
6837,60,25,0,1,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,52.7,1
17013,12,28,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,54.5,30.1,1
13782,4,0,1,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,48.7,52.7,0
13539,22,25,0,1,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,51.5,57.9,1
325,1,1,0,0,1336,1,7.8,17.2,8.8,20.8,38.5,23040,46,48.7,52.7,1
2886,47,25,1,1,5070,1,11.3,19.2,10.0,32.9,32.0,21323,53,48.7,52.7,1
10660,6,0,1,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,51.5,57.9,1
14928,68,25,1,0,15501,1,14.4,23.6,13.9,45.1,39.3,13089,84,50.7,19.8,0
11536,35,27,1,0,16845,1,2.9,30.7,23.4,16.5,36.1,18672,58,54.5,30.1,0
5274,33,0,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,50.7,19.8,1
1768,17,5,1,0,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,50.7,19.8,1
6426,6,27,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,52.7,1
5879,46,5,1,0,10850,1,2.3,14.7,6.6,12.9,21.7,43198,10,51.5,57.9,1
14241,20,4,0,0,13701,1,3.3,25.9,19.4,20.5,42.1,16563,62,50.7,19.8,0
18686,12,22,1,0,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,52.7,1
16311,33,25,1,0,21870,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,52.7,1
12256,4,5,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,54.5,30.1,0
19500,22,25,1,1,37845,1,1.0,3.4,8.7,4.3,36.8,34381,16,51.5,57.9,1
5117,20,4,0,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,51.5,57.9,0
10752,33,27,1,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,48.7,52.7,1
4427,17,5,1,0,4701,1,3.2,16.8,8.2,14.8,26.2,31908,23,48.7,54.2,1
1138,6,5,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,48.7,52.7,1
10172,7,19,1,0,12270,3,1.3,13.8,4.9,7.4,21.8,59077,7,54.5,30.1,0
8215,6,4,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,50.7,19.8,1
14474,49,43,0,0,22849,1,3.3,25.9,19.4,20.5,42.1,16563,62,48.7,54.2,0
8770,22,25,1,1,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,54.5,30.1,1
5209,33,52,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,48.7,54.2,1
245,35,0,1,1,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,54.5,30.1,0
14117,65,5,0,0,13701,1,6.8,19.2,12.1,31.9,42.8,17104,64,48.7,52.7,0
15492,11,5,1,0,15501,1,11.9,29.0,23.0,41.5,38.9,12765,91,50.7,19.8,0
10120,22,27,1,1,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,48.7,52.7,1
332,4,5,1,0,1336,1,7.8,17.2,8.8,20.8,38.5,23040,46,51.5,57.9,0
19657,65,4,0,0,37845,1,0.8,13.2,15.0,10.8,40.3,27149,30,54.5,30.1,0
3335,22,27,1,0,5070,1,6.3,13.1,10.0,22.4,31.6,27249,34,51.5,57.9,1
3523,4,5,1,0,5070,1,8.1,15.3,13.8,23.5,38.6,22014,50,51.5,57.9,0
8049,26,28,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,54.5,30.1,0
10597,6,4,0,0,16845,1,3.2,51.2,33.9,26.6,44.9,10432,97,48.7,52.7,1
18600,17,3,1,0,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,51.5,57.9,1
15161,11,5,1,0,15501,3,4.5,18.9,13.7,22.2,31.3,22694,43,48.7,54.2,0
17692,7,0,1,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,54.2,0
7303,40,19,1,0,12345,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,54.2,1
18937,8,2,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,51.5,57.9,0
3469,29,12,1,0,5070,2,5.2,10.6,10.0,16.2,33.6,26282,28,54.5,30.1,0
12338,18,5,0,0,18345,1,3.3,27.8,24.0,14.5,40.3,18881,60,48.7,52.7,0
15300,6,9,1,0,15501,1,11.9,29.0,23.0,41.5,38.9,12765,91,50.7,19.8,1
4444,116,2,1,0,4701,1,3.2,16.8,8.2,14.8,26.2,31908,23,50.7,19.8,0
4109,68,27,1,0,4701,1,6.0,15.3,9.2,24.7,31.0,20039,42,54.5,30.1,0
13049,17,62,1,0,17070,1,4.7,29.8,19.7,26.6,41.1,16579,75,50.7,19.8,1
1844,65,27,0,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,54.5,30.1,0
13488,46,4,1,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,54.5,30.1,1
7108,46,3,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,1
3881,49,43,0,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,50.7,19.8,0
1648,17,5,1,0,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,50.7,19.8,1
10335,33,5,1,0,16845,3,5.7,40.1,16.7,34.5,38.3,16148,82,51.5,57.9,1
18720,6,25,1,0,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,54.2,1
14548,22,25,0,1,22849,1,5.8,56.5,34.6,27.5,51.5,8201,98,50.7,19.8,1
7906,7,0,1,0,12345,1,8.2,42.4,19.6,21.3,43.2,12961,83,51.5,57.9,0
6906,49,37,0,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,0
